LoRA Configuration,Image File,Image Path,CLIP Score
R8_A4,Megamendung-R8-A4-01.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-4\Megamendung-R8-A4-01.png,0.279733
R8_A4,Megamendung-R8-A4-02.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-4\Megamendung-R8-A4-02.png,0.277476
R8_A4,Megamendung-R8-A4-03.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-4\Megamendung-R8-A4-03.png,0.293255
R8_A4,Megamendung-R8-A4-04.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-4\Megamendung-R8-A4-04.png,0.260142
R8_A4,Megamendung-R8-A4-05.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-4\Megamendung-R8-A4-05.png,0.252034
R8_A8,Megamendung-R8-A8-01.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-8\Megamendung-R8-A8-01.png,0.27255
R8_A8,Megamendung-R8-A8-02.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-8\Megamendung-R8-A8-02.png,0.238567
R8_A8,Megamendung-R8-A8-03.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-8\Megamendung-R8-A8-03.png,0.287303
R8_A8,Megamendung-R8-A8-04.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-8\Megamendung-R8-A8-04.png,0.276992
R8_A8,Megamendung-R8-A8-05.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-8\Megamendung-R8-A8-05.png,0.269058
R8_A16,Megamendung-R8-A16-01.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-16\Megamendung-R8-A16-01.png,0.275548
R8_A16,Megamendung-R8-A16-02.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-16\Megamendung-R8-A16-02.png,0.28164
R8_A16,Megamendung-R8-A16-03.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-16\Megamendung-R8-A16-03.png,0.281788
R8_A16,Megamendung-R8-A16-04.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-16\Megamendung-R8-A16-04.png,0.277924
R8_A16,Megamendung-R8-A16-05.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-8-Alpha-16\Megamendung-R8-A16-05.png,0.275898
R16_A8,Megamendung-R16-A8-01.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-8\Megamendung-R16-A8-01.png,0.283243
R16_A8,Megamendung-R16-A8-02.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-8\Megamendung-R16-A8-02.png,0.268943
R16_A8,Megamendung-R16-A8-03.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-8\Megamendung-R16-A8-03.png,0.25991
R16_A8,Megamendung-R16-A8-04.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-8\Megamendung-R16-A8-04.png,0.275487
R16_A8,Megamendung-R16-A8-05.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-8\Megamendung-R16-A8-05.png,0.287785
R16_A16,Megamendung-R16-A16-01.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-16\Megamendung-R16-A16-01.png,0.276156
R16_A16,Megamendung-R16-A16-02.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-16\Megamendung-R16-A16-02.png,0.271293
R16_A16,Megamendung-R16-A16-03.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-16\Megamendung-R16-A16-03.png,0.28544
R16_A16,Megamendung-R16-A16-04.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-16\Megamendung-R16-A16-04.png,0.27015
R16_A16,Megamendung-R16-A16-05.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-16\Megamendung-R16-A16-05.png,0.281855
R16_A32,Megamendung-R16-A32-01.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-32\Megamendung-R16-A32-01.png,0.290429
R16_A32,Megamendung-R16-A32-02.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-32\Megamendung-R16-A32-02.png,0.269771
R16_A32,Megamendung-R16-A32-03.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-32\Megamendung-R16-A32-03.png,0.246149
R16_A32,Megamendung-R16-A32-04.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-32\Megamendung-R16-A32-04.png,0.271796
R16_A32,Megamendung-R16-A32-05.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-16-Alpha-32\Megamendung-R16-A32-05.png,0.264702
R32_A16,Megamendung-R32-A16-02.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-16\Megamendung-R32-A16-02.png,0.252346
R32_A16,Megamendung-R32-A16-03.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-16\Megamendung-R32-A16-03.png,0.300432
R32_A16,Megamendung-R32-A16-04.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-16\Megamendung-R32-A16-04.png,0.271738
R32_A16,Megamendung-R32-A16-07.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-16\Megamendung-R32-A16-07.png,0.269993
R32_A16,Megamendung-R32-A16-08.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-16\Megamendung-R32-A16-08.png,0.254154
R32_A32,Megamendung-R32-A32-02.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-32\Megamendung-R32-A32-02.png,0.275964
R32_A32,Megamendung-R32-A32-06.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-32\Megamendung-R32-A32-06.png,0.285745
R32_A32,Megamendung-R32-A32-11.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-32\Megamendung-R32-A32-11.png,0.287276
R32_A32,Megamendung-R32-A32-12.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-32\Megamendung-R32-A32-12.png,0.268356
R32_A32,Megamendung-R32-A32-15.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-32\Megamendung-R32-A32-15.png,0.253604
R32_A64,Megamendung-R32-A64-01.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-64\Megamendung-R32-A64-01.png,0.2926
R32_A64,Megamendung-R32-A64-02.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-64\Megamendung-R32-A64-02.png,0.276458
R32_A64,Megamendung-R32-A64-08.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-64\Megamendung-R32-A64-08.png,0.254694
R32_A64,Megamendung-R32-A64-10.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-64\Megamendung-R32-A64-10.png,0.278692
R32_A64,Megamendung-R32-A64-11.png,D:\PIctures\Generations\ComfyUI\Txt2Img\Megamendung\Rank-32-Alpha-64\Megamendung-R32-A64-11.png,0.276057
